,Paper ID,Hypothesis/Proposition #,Hypothesis/Proposition Full Sentence
18,amr.2019.0470.txt,h9,hypo 3: the increase in myopia due to ml is likely to be higher in the presence of learning dependencies among routines.
19,amr.2019.0470.txt,h10,"hypo 2: in the context of the simulation, this occurs because ml rapidly eliminates some variants that contribute to the performance of other routines."
20,atc05ijhrm.txt,h0,"hypo 8: 01.0m, which was down by 81 per cent compared to the same period in 2001 ."
21,atc05ijhrm.txt,h1,"hypo 4: 93.1m worth of investments, representing 62 per cent of the total investment while the trade industry claimed ph"
22,atc05ijhrm.txt,h2,hypo 2: 16.3m or 27 per cent of these investments .
23,atc05ijhrm.txt,h3,hypo 1: firms that adopt a more strategic approach to hrm will have higher levels of performance.
24,atc05ijhrm.txt,h4,hypo 2: there are no differences in the ir practices of locally owned and foreign-owned ﬁrms in the philippines.
25,atc05ijhrm.txt,h5,hypo 3: there are no differences in the adoption of strategic hr practices between locally owned and foreign-owned ﬁrms in the philippines.
26,atc05ijhrm.txt,h6,hypo 1: was only partially supported as we did not ﬁnd any association between human capital-enhancing hr practices and ﬁrm performance.
27,atc05ijhrm.txt,h7,"hypo 3: in general, the results indicated that larger ﬁrms tend to be more associated with higher level of overall ﬁrm performance."
28,ay14ijbs.txt,h0,hypo 1: financial and competitive pressure is positively related to the level of reverse logistics adoption.
29,ay14ijbs.txt,h1,"based on the above argumentation, it is hypothesises that: "
30,ay14ijbs.txt,h2,hypo 2: demanding customer/stakeholders pressure is positively related to the level of reverse logistics adoption.
31,ay14ijbs.txt,h3,"as a result, the third hypothesis of this study is: "
32,ay14ijbs.txt,h4,hypo 3: regulatory pressure is positively related to the level of reverse logistics adoption.
33,ay14ijbs.txt,h5,"thus, the fourth hypothesis of this study is: "
34,ay14ijbs.txt,h6,hypo 4: corporate citizenship pressure is positively related to the level of reverse logistics adoption.
35,ay14ijbs.txt,h7,"based on these arguments, the final hypothesis of this study is: "
36,ay14ijbs.txt,h8,hypo 5: the level of reverse logistics adoption has a positive impact on firm’s performance.
37,ay14ijbs.txt,h9,"hypo 6: reverse logistics level rllevel_fin rllevel_invnt rllevel_mgmt rllevel_res financial and competitive pressure fincom1 fincom2 fincom3 fincom4 fincom5 fincom6 firm’s performance performance1 performance2 performance3 performance4 performance5 performance6 performance7 table 5: latent variable correlation matrix corpcitz customersh fincom performance rl_level regpres corpcitz custsh fincom performance rl_level regpres reverse logistics: pressure for adoption and the impact on firm’s performance figure 2: structural model result of the analysis fincom custsh regpres corpcitz note: significant at p < 0.05. rl level r2 = 0.132 performance r2 = 0.037 table 6 then summarise the outcome of pls model analysis using bootstrapping procedure and it details out the path coefficients, their t-values and the level of significance for each of them."
38,azw06meq.txt,h0,hypo 1: there is a positive relationship between a ﬁrm’s commitment to iso 14001 
39,azw06meq.txt,h1,hypo 2: there is a positive relationship between a ﬁrm’s orientation to iso 14001 and 
40,azw06meq.txt,h2,hypo 3: there is a positive relationship between a ﬁrm’s culture of iso 14001 and its 
41,azw06meq.txt,h3,"hypo 4: the implementation cost of iso 14001 is well worth the expenditure of resources, and is positively correlated with a ﬁrm’s performance 5. methodology the purpose of this study was to test hypotheses because we want to explain the variance in the dependent variable by establishing the nature of the relationship between the dependent variable and the independent variables through the testing of the hypotheses as what proposed in section 2.6. this is a correlational study because we are interested in delineating the important variables associated with the downloaded by university of north carolina at charlotte at 12:49 07 january 2018 firms’ performance in malaysia it is expected to conducted in the problem."
42,azw06meq.txt,h4,hypo 1: suggested that all dimensions of commitment to iso 14001 were positively related to a ﬁrm’s performance.
43,azw06meq.txt,h5,"as there were three dimensions of ﬁrms’ performance that evaluated with three dimensions of commitment, therefore three sub-hypotheses were framed for this "
44,azw06meq.txt,h6,"hypo 1: in short, hypotheses 1a and 1b were partially supported, whereas "
45,azw06meq.txt,h7,"hypo 1: was not supported, as com_c has no signiﬁcant effect on the performance of any of the ﬁrms."
46,azw06meq.txt,h8,"hypo 2: , it was postulated that ﬁrms going for iso 14001 certiﬁcation will increase their performance due to a better orientation of iso 14001 practices."
47,azw06meq.txt,h9,"hypo 1: downloaded by university of north carolina at charlotte at 12:49 07 january 2018 meq components of ort_a and ort_b were entered in step two, and subsequently regressed with all dimensions of ﬁrms’ performance."
48,azw06meq.txt,h10,hypo 3: the third hypothesis of this research postulated that ﬁrms going for iso 14001 certiﬁcation would improve their performance due to better culture practices.
49,azw06meq.txt,h11,"thus, hypotheses 3a and 3b were partially supported, whereas "
50,azw06meq.txt,h12,hypo 2: step variables r 2 perceived economic/ environmental impact perceived customer satisfaction perceived market position beta r 2 beta r 2 beta control variables job position status of company industry type main effects cul_a cul_b cul_c table iv.
51,azw06meq.txt,h13,"hypo 3: notes: n ¼ 45; *p , 0:05; * *p , 0:01; * * *p , 0:001 downloaded by university of north carolina at charlotte at 12:49 07 january 2018 5.7 test for "
52,azw06meq.txt,h14,"hypo 4: suggested that the implementation cost of iso 14001 is well worth the expenditure of resources, and is positively correlated to ﬁrms’ performance."
53,azw06meq.txt,h15,hypo 4: downloaded by university of north carolina at charlotte at 12:49 07 january 2018 meq item hypotheses result 
54,azw06meq.txt,h16,hypo 1: there is a positive relationship between commitment to iso 14001 and a ﬁrm’s performance 
55,azw06meq.txt,h17,hypo 1: commitment to iso 14001 is positively related to perceived economic/environmental impact 
56,azw06meq.txt,h18,hypo 1: commitment to iso 14001 is positively related to perceived customer satisfaction 
57,azw06meq.txt,h19,hypo 1: commitment to iso 14001 is positively related to perceived market position 
58,azw06meq.txt,h20,hypo 2: there is a positive relationship between a ﬁrm’s orientation towards iso 14001 and its performance 
59,azw06meq.txt,h21,hypo 2: orientation of iso 14001 is positively related to perceived economic/environmental impact 
60,azw06meq.txt,h22,hypo 2: orientation of iso 14001 is positively related to perceived customer satisfaction 
61,azw06meq.txt,h23,hypo 2: orientation of iso 14001 is positively related to perceived market position 
62,azw06meq.txt,h24,hypo 3: there is a positive relationship between a ﬁrm’s culture of iso 14001 and its performance 
63,azw06meq.txt,h25,hypo 3: culture of iso 14001 is positively related to perceived economic/environmental impact 
64,azw06meq.txt,h26,hypo 3: culture of iso 14001 is positively related to perceived customer satisfaction 
65,azw06meq.txt,h27,hypo 3: culture of iso 14001 is positively related to perceived market position partially supported partially supported not supported partially supported partially supported partially supported partially supported partially supported partially supported fully supported place has led them to explore alternative technologies and procedures in their production processes.
66,azw06meq.txt,h28,"hypo 4: the implementation cost of iso 14001 is well worth the expenditure of resources, and is positively correlated to a ﬁrm’s performance downloaded by university of north carolina at charlotte at 12:49 07 january 2018 firms’ performance in malaysia cost of reduced proﬁtability and reduced shareholder value."
67,bb95jibs.txt,h0,hypo 1: firms with ideal matches between business strategy and hrm strategy will perform better than firms with mismatches.
68,bb95jibs.txt,h1,hypo 1: japanese subsidiaries with ideal matches between business strategy and hrm strategy will experience higher levels of employee morale than subsidiaries with mismatches.
69,bb95jibs.txt,h2,hypo 2: japanese subsidiaries with ideal matches between business strategy and hrm strategy will have higher levels of average employee tenure than subsidiaries with mismatches.
70,bb95jibs.txt,h3,hypo 3: japanese subsidiaries with ideal matches between business strategy and hrm strategy will have higher rates of employ-ee promotion than subsidiaries with mismatches.
71,bb95jibs.txt,h4,hypo 4: japanese subsidiaries with ideal matches between business strategy and hrm strategy will experience lower rates of employee turnover than subsidiaries with mismatches.
72,bb95jibs.txt,h5,hypo 5: japanese subsidiaries with ideal matches between business strategy and hrm strategy will achieve higher profits than subsidiaries with mismatches.
73,bb95jibs.txt,h6,hypo 6: japanese subsidiaries with ideal matches between business strategy and hrm strategy will experience higher sales growth than subsidiaries with mismatches.
74,bb95jibs.txt,h7,hypo 7: japanese subsidiaries with ideal matches between business strategy and hrm strategy will experience higher levels of performance on parent-prescribed objectives than sub-sidiaries with mismatches.
75,bb95jibs.txt,h8,hypo 8: japanese subsidiaries with ideal matches between business strategy and hrm strategy will achieve higher overall per-formance than subsidiaries with mismatches.
76,bb95jibs.txt,h9,hypo 9: japanese subsidiaries with ideal matches between business strategy and hrm strategy will perform better relative to their competitors than will subsidiaries with mismatches.
77,bb95jibs.txt,h10,hypo 4: subsidiaries with matched strategies experienced substantially lower rates of turnover than their unmatched counterparts.
78,bb95jibs.txt,h11,hypo 5: was not supported by the findings.
79,bb95jibs.txt,h12,"hypo 6: , which stated that matched firms would experience higher sales growth than unmatched firms, there arose a question as to whether the weak findings might not reflect the possibility that growth was directly links between business & hrm strategy influenced by the business strategy, the logic being that prospectors might possi-bly experience higher levels of growth than analyzers or defenders."
80,bb95jibs.txt,h13,hypo 3: held that subsidiaries with an ideal match would have higher rates of employee promotion.
81,bb95jibs.txt,h14,hypo 4: might derive from a direct influence between turnover and hrm strategy.
82,bc11amj.txt,h0,"in sum, the existing literature yields the following hypothesis: "
83,bc11amj.txt,h1,hypo 1: work organization practices that enhance employee discretion and group collaboration will be associated with lower quit rates and lower dismissal rates.
84,bc11amj.txt,h2,hypo 2: employment practices emphasizing inducements and investments will be associated with lower quit rates and lower dismissal rates.
85,bc11amj.txt,h3,hypo 3: performance-enhancing practices will be positively related to both quit rates and dismissal rates.
86,bc11amj.txt,h4,"hypo 4: high involvement work organization, investment and inducement practices, and performance-enhancing expectations will each individually be associated with higher levels of operational performance."
87,bc11amj.txt,h5,"hypo 4: the interactions of high involvement work, investment and inducement practices, and performance-enhancing expectations will be associated with higher levels of operational performance than the simple additive effect of these hr practices."
88,bc11amj.txt,h6,hypo 5: quit and dismissal rates will be negatively related to operational performance: these theoretical arguments also suggest that whether turnover mediates the relationship between hr practices and performance may depend upon the contingencies discussed above.
89,bc11amj.txt,h7,hypo 5: the hr – performance relationship will be mediated by the additive effect of quit rates and dismissal rates.
90,bc11amj.txt,h8,"hypo 1: organizations that make greater use of high-involvement work practices have significantly lower quit rates , lower dismissal rates , and lower total turnover ."
91,bc11amj.txt,h9,"hypo 2: the investments and inducements index is significantly associated with lower quits , dismissals , and total turnover ."
92,bc11amj.txt,h10,"hypo 4: the high involvement index has a significant positive association with customer satisfaction , but the other two indexes are not significant."
93,bc11amj.txt,h11,"hypo 5: is supported for the high involvement work index, but not for the other hr indexes, which were not significantly related to customer satisfaction."
94,bc15apjm.txt,h0,hypo 1: marketing competence mediates the relationship between csr toward society and firm performance.
95,bc15apjm.txt,h1,hypo 2: marketing competence mediates the relationship between csr toward employees and firm performance.
96,bc15apjm.txt,h2,hypo 3: marketing competence mediates the relationship between csr toward customers and firm performance.
97,bc15apjm.txt,h3,"hypo 4: the greater the competitive intensity, the stronger the positive effect of csr toward society on a firm’s marketing competence."
98,bc15apjm.txt,h4,"hypo 4: the greater the competitive intensity, the weaker the positive effect of csr toward employees on a firm’s marketing competence."
99,bc15apjm.txt,h5,"hypo 4: the greater the competitive intensity, the stronger the positive effect of csr toward customers on a firm’s marketing competence."
100,bc15apjm.txt,h6,"hypo 5: the greater the market turbulence, the stronger the effect of csr toward customers on a firm’s marketing competence."
101,bc15apjm.txt,h7,"hypo 4: suggests that competitive intensity positively x. bai, j. chang table 3 regression analyses for moderating effectsa variables marketing competence model 1 model 2 model 3 model 4 controls firm size firm age ownership main effects csr toward society csr toward employees csr toward customers competitive intensity market turbulence moderating csr society × ci csr employees × ci csr customers × ci csr society × mt csr employees × mt csr customers × mt r2 δr2 f-test for δr2 a standardized regression coefficients are shown in the table * p < .05; ** p < .01; *** p < .001 , n = 295 moderates the effects of both csr toward society and customers on marketing competence but negatively moderates the effect of csr toward employees on marketing competence."
102,bc15apjm.txt,h8,hypo 4: figure 2 further shows that the effect of csr toward society on marketing competence is stronger when competitive intensity is high and the effect is less when competitive intensity is low .
103,bc15apjm.txt,h9,"hypo 4: , which suggests that marketing competence reduces the positive effect of csr toward employees on marketing competence, receives support."
104,bc15apjm.txt,h10,hypo 4: the reason may lie in the fact that the increased value perceived by customers from a firm’s csr activities toward corporate social responsibility and firm performance fig.
105,bc15apjm.txt,h11,hypo 5: predicts the moderating effect of market turbulence on the relationship between csr toward customers and marketing competence.
106,bc15apjm.txt,h12,hypo 5: the results also support our view that market turbulence does not have a moderating effect on the relationships of the other two dimensions of csr and marketing competence .
107,bgd05jom.txt,h0,hypo 1: employee skill flexibility is positively related to firm financial performance.
108,bgd05jom.txt,h1,hypo 2: employee behavior flexibility is positively related to firm financial performance.
109,bgd05jom.txt,h2,hypo 3: hr practice flexibility is positively related to firm financial performance.
110,bgd05jom.txt,h3,hypo 4: skill flexibility is positively related to cost-efficiency.
111,bgd05jom.txt,h4,hypo 4: behavior flexibility is positively related to cost-efficiency.
112,bgd05jom.txt,h5,hypo 4: hr practice flexibility is positively related to cost-efficiency.
113,bgd05jom.txt,h6,"hypo 1: , that skill flexibility will be related to firm performance, is supported."
114,bgd05jom.txt,h7,hypo 2: predicts that behavior flexibility is positively related with firm financial performance.
115,bl00amj.txt,h0,hypo 1: an organization with a management that strongly values hrm and people as a source of competitive advantage is more likely to use high-involvement hrm strategies.
116,bl00amj.txt,h1,hypo 2: organizations with differentiation strategies are more likely to have highinvolvement hrm strategies.
117,bl00amj.txt,h2,hypo 3: the extent to which a firm pursues a differentiation strategy is positively related to firm performance.
118,bl00amj.txt,h3,hypo 5: the speed of firm activities and services for internal and external customers is positively related to firm performance.
119,bl00amj.txt,h4,hypo 6: the presence of a high-involvement hrm strategy is positively related to firm performance.
120,bl00amj.txt,h5,"hypo 1: , although the parameter estimates for the differentiation and speed variables are not significant."
121,bl00amj.txt,h6,"hypo 2: , as the differentiation variable is positive and significant, but only at the .10 level."
122,bl00amj.txt,h7,"with these modifications in the model, the hrm strategy variable is positive and significant at the .01 level , thus supporting hypothesis 6. the differentiation scale is positively and significantly related to firm performance in all specifications, which supports "
123,bl00amj.txt,h8,hypo 3: there were no variations in firm performance by country of origin.
124,bl00amj.txt,h9,"hypo 6: second, the relationship in the case of the 1997 roic measure supports our assertion as to causal order."
125,bl00amj.txt,h10,hypo 1: there is at best only weak support for 
126,bl00amj.txt,h11,"hypo 2: , although hypothein- sis 3 is strongly supported ."
127,bl00amj.txt,h12,"hypo 3: ^otheses are not necessarily in conflict—tbey simply operate at different levels of an hr system"" ."
128,bm05jbe.txt,h0,hypo 1: there is a positive relationship between the level of a firm’s philanthropic expenditures and its reputation.
129,bm05jbe.txt,h1,hypo 3: firms that involve employees in their philanthropic activities have better reputations.
130,bm05jbe.txt,h2,hypo 4: such signals arise out of accounting data or stem from movements in stock prices .
131,bm05jbe.txt,h3,"hypo 5: the better is a firm’s current financial performance, the better its reputation."
132,bm05jbe.txt,h4,"hypo 6: corporate reputation is partly formed by signals concerning current ﬁnancial performance whether the greater is a firm’s market risk, the worse its reputation."
133,bm05jbe.txt,h5,"hypo 7: stephen brammer and andrew millington the greater is a firm’s degree of leverage, the worse its reputation."
134,bm05jbe.txt,h6,"hypo 9: the greater is the degree of long-term institutional ownership, the better is a firm’s reputation."
135,bm05jbe.txt,h7,hypo 1: 1 a ﬁrm’s media exposure inﬂuences its reputation.
136,bm05jbe.txt,h8,hypo 1: 2 a firm’s reputation is partly determined by the nature of its principle business activities.
137,bmp09bjm.txt,h0,"these preceding arguments suggest that board diversity will contribute to external perceptions of organizational eﬀectiveness, and we hypothesize: "
138,bmp09bjm.txt,h1,hypo 1: a female presence at board level improves reputation.
139,bmp09bjm.txt,h2,hypo 2: the relationship between female presence at board level and reputation varies across sectors.
140,bmp09bjm.txt,h3,hypo 1: is mixed in that there is a positive reputational eﬀect of a female presence at board level in only the consumer services sector.
141,bnk00jbr.txt,h0,"hypo 1: there is an insignificant relationship between profit/ sales in time period t and customer satisfaction at time period t. although the conclusions above concern the relationship between customer satisfaction and financial performance, conclusions have also been drawn concerning the relationship between customer satisfaction and nonfinancial performance."
142,bnk00jbr.txt,h1,hypo 2: there is a positive relationship between customer satisfaction at time period t and behavior intent at time period t. employee satisfaction and profits equally mixed results were found concerning the relationship between customer satisfaction and profits; mixed results were also found concerning the relationship between employee satisfaction and profits.
143,bnk00jbr.txt,h2,"thus, given the equivocal findings, the following hypothesis is proposed: "
144,bnk00jbr.txt,h3,hypo 3: there is an insignificant relationship between employee satisfaction at time period t and profit/sales in time period t. customer satisfaction and employee satisfaction the relationship between customer satisfaction and employee satisfaction is the one relationship that does not seem to yield conflicting results.
145,bnk00jbr.txt,h4,"hypo 4: there is a positive relationship between customer satisfaction at time period t and employee satisfaction at method time period t. longitudinal view as previously suggested, the conflicting relationships between customer satisfaction and performance and employee satisfaction and performance may be attributable to the fact that in all these studies cross-firm data collected at one point in time were analyzed."
146,bnk00jbr.txt,h5,"hypo 2: , customer satisfaction and behavioral intention are positively related."
147,bnk00jbr.txt,h6,hypo 5: there is a positive relationship between a change in customer satisfaction in previous time periods and a change in current profits/sales.
148,bnk00jbr.txt,h7,hypo 3: and show that there is no significant relationship between satisfaction and performance in the same period.
149,bnk00jbr.txt,h8,"hypo 4: next, to get another perspective on "
150,bnk00jbr.txt,h9,"hypo 4: , as seen in table 3, the 382 restaurants were divided into three categories based upon customer satisfaction scores."
151,bnk00jbr.txt,h10,"hypo 4: , this analysis was done at the request of the management, who generally prefer such discrete analyses."
152,bnk00jbr.txt,h11,"hypo 2: states that, although a relationship may not be seen in performance measures, the impact of customer satisfaction is seen in behavioral intention measures."
153,bnk00jbr.txt,h12,"hypo 2: apparently, customer satisfaction, although not influencing sales and profits immediately, does affect consumers’ intentions to return in the future."
154,bnk00jbr.txt,h13,"hypo 5: , a change in customer satisfaction will be correlated with a change in financial performance, a time series analysis was conducted."
155,bnk00jbr.txt,h14,"hypo 5: other correlations and change in profits produced similar significant results , and, hence, we can safely conclude that our support for "
156,bnk00jbr.txt,h15,hypo 5: is not an artifact of our specific base and follow-up measures.
157,bnk00jbr.txt,h16,hypo 1: there is a positive relationship between a change in employee satisfaction in previous time periods and a change in current profits/sales.
158,bnk00jbr.txt,h17,hypo 2: there is a positive relationship between a change in customer satisfaction in previous time periods and a change in current employee satisfaction.
159,bnk00jbr.txt,h18,hypo 5: is positive and the study’s empirical finding is a correlation of 0.42. reflected in the financial performance of the company.
160,bp06jms.txt,h0,hypo 1: there is a positive relationship between corporate social performance and reputation.
161,bp06jms.txt,h1,"in © blackwell publishing ltd 2006 corporate reputation and social performance light of the heightened relevance of social responsiveness for meeting the expectations of multiple stakeholders in some sectors relative to others, we hypothesize that: "
162,bp06jms.txt,h2,"hypo 2: industrial sector moderates the relationship between social performance and reputation, such that the relationship is stronger in sectors that are associated with salient social and environmental issues."
163,bp06jms.txt,h3,"hypo 3: industrial sector and type of social performance interact to inﬂuence the relationship between social performance and reputation, such that the link between reputation and community performance is stronger in sectors that are associated with salient social issues."
164,bp06jms.txt,h4,"we can use these ﬁndings to evaluate hypotheses 1, 2, and 3. regressions 3 and 6 provide evidence in support of "
165,bp06jms.txt,h5,"hypo 3: also receives support, as regressions 4, 5 and 6 indicate that this relationship varies across the types of social performance."
166,bp06jms.txt,h6,"hypo 1: , that there is a positive reputational effect, receives support in respect of community performance in all but the resources sector, and for environmental performance in the chemicals, consumer products, resources and transportation sectors."
167,breb08jom.txt,h0,"drawing from these studies, we formulate the following hypothesis: "
168,breb08jom.txt,h1,hypo 1: hpws will have a positive effect on organizational performance.
169,breb08jom.txt,h2,hypo 2: hr flexibility will mediate the relationship between hpws and organizational performance.
170,breb08jom.txt,h3,hypo 1: as it involves estimating the direct effect of hpws on performance .
171,breb08jom.txt,h4,hypo 1: and lending support to previous studies that demonstrate the relevance of adopting hpws to firm success .
172,breb08jom.txt,h5,"hypo 2: the estimation of the mediated model also shows a good fit, according to the values of the χ2 and the fit indices ."
173,breb08jom.txt,h6,hypo 2: 4 = 0.40) and hr flexibility influences firm performance .
174,breb08jom.txt,h7,hypo 2: provides some partial results that deserve mention.
175,brm11jbe.txt,h0,hypo 1: market orientation has a positive association with business performance.
176,brm11jbe.txt,h1,"hypo 2: csr has a positive inﬂuence on the relationship between market orientation and business performance such that at a higher level of csr, market orientation has a stronger association with performance than at a lower level of csr."
177,brm11jbe.txt,h2,"hypo 3: csr has a positive inﬂuence on the relationship between customer orientation and performance such that at a higher level of csr, the association between customer orientation and performance is stronger than at a lower level of csr."
178,brm11jbe.txt,h3,"hypo 4: csr has a negative inﬂuence on the relationship between competitive orientation and performance such that at a higher level of csr, competitive orientation has a negative relationship with performance, and at a lower level of csr, competitive orientation has a positive relationship with performance."
179,brm11jbe.txt,h4,hypo 5: csr does not signiﬁcantly inﬂuence the relationship between inter-functional orientation and performance.
180,brm11jbe.txt,h5,"hypo 2: by examining the interactive effects of csr 9 mo, ."
181,brm11jbe.txt,h6,hypo 2: the results are presented in table ii.
182,brm11jbe.txt,h7,"hypo 2: to test hypotheses 3, 4, and 5, this study examined the interaction effects of csr, customer orientation, competitor orientation, and inter-functional coordination ."
183,brm11jbe.txt,h8,"hypo 3: , as this moderation becomes insigniﬁcant in the full model ."
184,brm11jbe.txt,h9,"hypo 5: to further explore these results, we conducted additional analyses on the association between csr, market orientation, and the three performance measures: ﬁnancial performance, corporate reputation, and employee commitment."
185,brm11jbe.txt,h10,hypo 3: we plotted the signiﬁcant interaction between customer orientation and ﬁnancial performance in order to explore the directions of the interaction.
186,bs05jams.txt,h0,"given this backdrop, the following hypotheses regarding em and firm performance are offered below: "
187,bs05jams.txt,h1,hypo 1: em is directly and positively related to the firm’s new product success in its principal market segment.
188,bs05jams.txt,h2,hypo 2: new product success is directly and positively related to changes in market share in the firm’s principal market segment.
189,bs05jams.txt,h3,hypo 3: market turbulence is directly and positively related to the firm’s new product success.
190,bs05jams.txt,h4,"first, an exploratory principal components factory analysis revealed that each of the measures loaded downloaded from jam.sagepub.com at sage publications on december 6, 2012 baker, sinkula / environmental marketing strategy 469 table 3 enviropreneurial marketing second-order measurement model indicator environment as opportunity environment as commitment environment as righteousness standardized first-order loadings i)a .68b eao1 1) eao2 2) eac1 3) eac2 4) ear1 5) ear2 6) standardized second-order loadings j)a first-order construct enviropreneurial marketing .82b .74b environment as opportunity 1) environment as commitment 2) environment as righteousness 3) goodness-of-fit statistics 2, p < .00 2/df tucker lewis index bentler’s comparative fit index rmsea parameter hypothesis "
191,bs05jams.txt,h5,hypo 3: goodness-of-fit statistics 2/df tucker lewis index bentler’s comparative fit index rmsea note: eao = environment as opportunity; eac = environment as commitment; ear = environment as righteousness; rmsea = root mean square error of approximation.
192,bs05jams.txt,h6,"hypo 1: , the endogenous construct new product success is positively related to em 1 = .31, p < .001)."
193,bs05jams.txt,h7,hypo 2: proposed a direct effect of new product success on change in market share.
194,bs05jams.txt,h8,hypo 3: maintained that market turbulence would directly affect new product success.
195,bs05jams.txt,h9,"our first hypothesis posited that a firm’s em strategy development is positively related to new product success, while "
196,bs05jams.txt,h10,hypo 2: stated that new product success is positively related to change in market share.
197,bss03amj.txt,h0,hypo 3: organizational performance will have an inverted u-shaped relationship with the degree of hierarchy in a pay structure.
198,bss03amj.txt,h1,hypo 1: there will be a positive relationship between pay levels and resource efficiency and a positive relationship between pay levels and patient care outcomes.
199,bss03amj.txt,h2,hypo 2: there will be an inverted u-shaped relationship between pay levels and an organization's financial performance: financial performance will be lower with low pay levels and lower with high pay levels.
200,bss03amj.txt,h3,hypo 4: the relationship between pay structure and resource efficiency will be moderated by pay level: pay structure will be less strongly related to resource efficiency at higher pay levels.
201,bss03amj.txt,h4,hypo 5: the relationship between pay structure and patient care outcomes will be moderated by pay level: pay structure will be less strongly related to patient care outcomes at higher pay levels.
202,bss03amj.txt,h5,"hypo 6: the relationship between pay structure and financial performance will be moderated by pay level, with the greatest benmethods sample we employed data from the population of shortterm-stay, acute care, general hospitals in the state of california."
203,bss03amj.txt,h6,"hypo 1: as pay levels increase, for all pay hierarchies, the expected resource efficiency improves and patient care outcomes increase."
204,bss03amj.txt,h7,"hypo 2: as shown in table 4, pay level did not explain significantly more variance in roa either linearly or nonlinearly ."
205,bss03amj.txt,h8,"in step 4 of the regression, although the interaction term was significant and added explanatory power, figure 1 does not reveal the inverted u-shaped relationship between pay level and roa predicted in hypothesis 2. the analysis also left "
206,cg01aaaj.txt,h0,"hypo 4: n "" 37j7:d# 3$= #+md:4 n 3%$ >;,+-4 n ) 3:+=:4 ’ @’ 1 ’’ ."
207,cg01aaaj.txt,h1,hypo 4: 1 %$ 0 $= #+md: ’ 21 0 2’1’ ’’ 3$= #+md:4 2 ’ >2 ’ =dd+/d ’’ ’’ 3=dd+/d4 1 0 2 0 3$= #+md:4 :1’ ’ #+md: =dd+/d +-d downloaded by university of north carolina at charlotte at 07:11 03 february 2017 this article has been cited by:1.al-shaerhabiba habiba al-shaer habiba.al-shaer@newcastle.ac.uk habiba al-shaer is a lecturer inaccounting at the university of newcastle.
208,cg05smj.txt,h0,hypo 1: stakeholder management will have a positive effect on ceo compensation levels.
209,cg05smj.txt,h1,"hypo 2: stakeholder management and ﬁnancial performance interact to predict ceo compensation levels, such that ceos simultaneously achieving higher levels of both will be the most highly compensated."
210,cg05smj.txt,h2,hypo 1: that sm performance would have a positive effect on ceo compensation.
211,cg05smj.txt,h3,hypo 2: proposed that ﬁnancial performance and sm interact to predict ceo compensation such that ceos of ﬁrms having higher sm and higher ﬁnancial performance would be most highly compensated.
212,chl08hrm.txt,h0,hypo 1: commitment configuration is positively associated with firm performance.
213,chl08hrm.txt,h1,hypo 1: market-based and collaborative-based hr show no significant relation to firm performance.
214,chl08hrm.txt,h2,hypo 1: compliance hr configurations is negatively related to firm performance.
